1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,9190WBLVRD2463R,1.1006E+11,US CBP BOULEVARD BORDER PATROL STATION #CA11560,2463 RIBBONWOOD ROAD,BOULEVARD,SAN DIEGO,CA,91905,,,32.68306,-116.293235,NAD83,US DEPARTMENT OF HOMELAND SECURITY,NA,US DEPARTMENT OF HOMELAND SECURITY,NA,,NA,YES,999,Other,,,,,,,922120,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,2101,0,0,0,0,2101,0,0,0,0,0,0,2101,,ACTIVITY,1.01
2023,95237JNSNP1244L,1.10025E+11,JENSEN PRECAST,12101 E BRANDT RD,LOCKEFORD,SAN JOAQUIN,CA,95237,,,38.15242,-121.16625,NAD83,JENSEN PRECAST,65018178,JENSEN PRECAST,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327390,,,,,,1.32322E+12,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,13.21,0,0,0,0,0,0,0,0,0,0,0,13.21,0,0,0,0,0,0,0,0,0,13.21,0,0,13.21,,PRODUCTION,3.66
2023,9135WQKRTS11145,1.10071E+11,QUIKRETE - SUN VALLEY CA PLANT,11145 TUXFORD ST,SUN VALLEY,LOS ANGELES,CA,91352,,,34.232528,-118.374358,NAD83,QUIKRETE HOLDINGS,4300406,QUIKRETE HOLDINGS,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327999,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.761,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0,0,0.774,0,0,0,0,0,0,0,0,0.774,,PRODUCTION,1.17
2023,91761LGRMF724SB,1.10003E+11,ALGER PRECISION MACHINING,724 S BON VIEW AVE,ONTARIO,SAN BERNARDINO,CA,91761,,,34.05595,-117.6366,NAD83,NA,,NA,NA,,NA,NO,332,Fabricated Metals,,,,,,,332721,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,0,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,0,0,0,0,1925,0,0,1925,,,
2023,90250SLCTR2533C,1.1007E+11,OSI ELECTRONICS,12533 CHADRON AVE,HAWTHORNE,LOS ANGELES,CA,90250,,,33.918863,-118.329593,NAD83,OSI OPTOELECTRONICS INC,612770974,OSI SYSTEMS INC,NA,,OSI SYSTEMS,NO,334,Computers and Electronic Products,,,,,,,334418,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0.02,,PRODUCTION,1
2023,91702LSLVN1704W,1.1E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,1704 W 1ST ST,AZUSA,LOS ANGELES,CA,91702,,,34.12158,-117.93669,NAD83,VEOLIA N.A. INC.,81134987,VEOLIA NORTH AMERICA,VEOLIA ENVIRONMENT SA,494763675,VEOLIA ENVIRONMENT SA,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,15230,0,0,0,15230,0,0,0,0,0,0,0,0,0,0,0,15230.1,0.1,0,0,0,0,0.1,0,0,0,15230,0,0,15230.1,,ACTIVITY,1.2
2023,92355BNNZL11711,1.10023E+11,SIERRA ALUMINUM CO PLANT II,11806-11880 PACIFIC AVE,FONTANA,SAN BERNARDINO,CA,92337,,,34.03888,-117.51828,NAD83,SIERRA ALUMINUM CO,161540984,SIERRA ALUMINUM CO,,,NA,NO,331,Primary Metals,,,,,,,331318,332813,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0,0.041,0.008,0,0,0,0,0,0,0,0,0,0,0,0.049,7.94,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,8.009,0,0,0.049,5.022,2.938,0,0,0,0,0,0,8.009,,PRODUCTION,0.74
2023,9271WRVNPL1681C,1.1007E+11,IRVINE PLANT 21,16081 CONSTRUCTION CIRCLE WEST,IRVINE,ORANGE,CA,92714,,,33.69721,-117.82032,NAD83,MCC DEVELOPMENT CORP,838030492,MCC DEVELOPMENT CORP,NA,,MITSUBISHI UBE CEMENT CORP,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1.32322E+12,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,3.47,0.002,0,0,0,0,0,0,0,0,0,0,0,3.149,6.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.621,0,0,6.621,0,0,0,0,33.97,0,0,0,40.591,,PRODUCTION,1.01
2023,94928PRKRH5500B,1.10001E+11,PARKER HANNIFIN CORP EMN  NA,5500 BUSINESS PARK DR,ROHNERT PARK,SONOMA,CA,94928,,,38.35671,-122.72239,NAD83,PARKER HANNIFIN CORP,4175550,PARKER HANNIFIN CORP,NA,,NA,NO,335,Electrical Equipment,,,,,,,335314,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,114,0,0,114,,PRODUCTION,1.34
2023,9513WGRNTR11711,1.10001E+11,GRANITE ROCK,11711 BERRYESSA ROAD,SAN JOSE,SANTA CLARA,CA,95133,,,37.36523,-121.88161,NAD83,NA,,GRANITE ROCK CO,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1.32322E+12,Lead,NO,7439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0,0.007,0.003,0,0,0,0,0,0,0,0,0,0.053,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.54,0,0,113.54,0,0,0,0,0,0,0,0,0,0,0,113.54,0.064,0,0,0.064,0,0,0,0,0,113.54,0,0,113.604,,PRODUCTION,1
