Local Health Jurisdiction,GEOID,Number children under 6 w BLL at or above 3.5 µg/dL,Percent Children under  6 w BLL at or above 3.5 µg/dL ,Total Number children under 6 w/ BLL
Alameda,6001400100,2,0.038461538,52
Alameda,6001400200,2,0.03125,64
Alameda,6001400300,9,0.066666667,135
Alameda,6001400400,2,0.018518519,108
Alameda,6001400500,3,0.027027027,111
Alameda,6001400600,2,0.030769231,65
Alameda,6001400700,12,0.071856287,167
Alameda,6001400800,5,0.047619048,105
Alameda,6001400900,10,0.117647059,85
Alameda,6001401000,11,0.050691244,217
Alameda,6001401100,12,0.092307692,130
Alameda,6001401200,6,0.053571429,112
Alameda,6001401300,2,0.024390244,82
Alameda,6001401400,18,0.096774194,186
Alameda,6001401500,6,0.072289157,83
Alameda,6001401600,10,0.1,100
Alameda,6001401700,4,0.033613445,119
Alameda,6001401800,11,0.183333333,60
Alameda,6001402200,7,0.097222222,72
Alameda,6001402400,3,0.05,60
Alameda,6001402500,1,0.022222222,45
Alameda,6001402600,2,0.076923077,26
Alameda,6001402700,2,0.041666667,48
Alameda,6001402801,5,0.074626866,67
Alameda,6001402802,0,0,12
Alameda,6001402900,2,0.066666667,30
Alameda,6001403000,0,0,62
Alameda,6001403100,0,0,23
Alameda,6001403301,0,0,64
Alameda,6001403302,0,0,45
Alameda,6001403401,3,0.042253521,71
Alameda,6001403402,2,0.039215686,51
Alameda,6001403501,4,0.034782609,115
Alameda,6001403502,5,0.080645161,62
Alameda,6001403600,7,0.04516129,155
Alameda,6001403701,0,0,61
Alameda,6001403702,3,0.069767442,43
Alameda,6001403800,2,0.018348624,109
Alameda,6001403900,3,0.024390244,123
Alameda,6001404000,4,0.04494382,89
Alameda,6001404101,2,0.026315789,76
Alameda,6001404102,0,0,33
Alameda,6001404200,0,0,89
Alameda,6001404300,4,0.043956044,91
Alameda,6001404400,1,0.006756757,148
Alameda,6001404501,1,0.029411765,34
Alameda,6001404502,2,0.013245033,151
Alameda,6001404600,1,0.010752688,93
Alameda,6001404700,0,0,56
Alameda,6001404800,2,0.015873016,126
Alameda,6001404900,4,0.023529412,170
Alameda,6001405000,2,0.019230769,104
Alameda,6001405100,4,0.032786885,122
Alameda,6001405200,5,0.036231884,138
Alameda,6001405301,4,0.050632911,79
Alameda,6001405302,1,0.02173913,46
Alameda,6001405401,6,0.031088083,193
Alameda,6001405402,9,0.063829787,141
Alameda,6001405500,8,0.060606061,132
Alameda,6001405600,2,0.015503876,129
Alameda,6001405700,3,0.023622047,127
Alameda,6001405800,10,0.045248869,221
Alameda,6001405901,20,0.06993007,286
Alameda,6001405902,6,0.032967033,182
Alameda,6001406000,9,0.060402685,149
Alameda,6001406100,7,0.025,280
Alameda,6001406201,17,0.047752809,356
Alameda,6001406202,17,0.039812646,427
Alameda,6001406300,7,0.031674208,221
Alameda,6001406400,3,0.036144578,83
Alameda,6001406500,24,0.063157895,380
Alameda,6001406601,7,0.028,250
Alameda,6001406602,5,0.037037037,135
Alameda,6001406700,6,0.027027027,222
Alameda,6001406800,3,0.025210084,119
Alameda,6001406900,3,0.02173913,138
Alameda,6001407000,11,0.03343465,329
Alameda,6001407101,6,0.024291498,247
Alameda,6001407102,11,0.037931034,290
Alameda,6001407200,22,0.039927405,551
Alameda,6001407300,9,0.042654028,211
Alameda,6001407400,20,0.05952381,336
Alameda,6001407500,23,0.057356608,401
Alameda,6001407600,9,0.024193548,372
Alameda,6001407700,9,0.043478261,207
Alameda,6001407800,1,0.010204082,98
Alameda,6001407900,0,0,108
Alameda,6001408000,1,0.018181818,55
Alameda,6001408100,3,0.020833333,144
Alameda,6001408200,8,0.041666667,192
Alameda,6001408300,6,0.028037383,214
Alameda,6001408400,20,0.08097166,247
Alameda,6001408500,20,0.043668122,458
Alameda,6001408600,28,0.061269147,457
Alameda,6001408700,26,0.049335863,527
Alameda,6001408800,20,0.051546392,388
Alameda,6001408900,5,0.018656716,268
Alameda,6001409000,8,0.024024024,333
Alameda,6001409100,5,0.029069767,172
Alameda,6001409200,11,0.037800687,291
Alameda,6001409300,22,0.054320988,405
Alameda,6001409400,12,0.027522936,436
Alameda,6001409500,11,0.033536585,328
Alameda,6001409600,15,0.032258065,465
Alameda,6001409700,9,0.021479714,419
Alameda,6001409800,0,0,129
Alameda,6001409900,2,0.023529412,85
Alameda,6001410000,0,0,96
Alameda,6001410100,3,0.02,150
Alameda,6001410200,12,0.052863436,227
Alameda,6001410300,7,0.022222222,315
Alameda,6001410400,10,0.041493776,241
Alameda,6001410500,4,0.121212121,33
Alameda,6001420100,0,0,54
Alameda,6001420200,7,0.082352941,85
Alameda,6001420301,3,0.04,75
Alameda,6001420302,1,0.011904762,84
Alameda,6001420401,3,0.035294118,85
Alameda,6001420402,3,0.038461538,78
Alameda,6001420500,5,0.064102564,78
Alameda,6001420600,4,0.048780488,82
Berkeley,6001421100,2,0.057142857,35
Berkeley,6001421200,0,0,62
Berkeley,6001421300,5,0.052631579,95
Berkeley,6001421400,1,0.04,25
Berkeley,6001421500,2,0.028169014,71
Berkeley,6001421600,4,0.068965517,58
Berkeley,6001421700,3,0.041666667,72
Berkeley,6001421800,1,0.025641026,39
Berkeley,6001421900,6,0.056603774,106
Berkeley,6001422000,2,0.033333333,60
Berkeley,6001422100,4,0.04494382,89
Berkeley,6001422200,8,0.078431373,102
Berkeley,6001422300,1,0.012658228,79
Berkeley,6001422400,6,0.111111111,54
Berkeley,6001422500,4,0.095238095,42
Berkeley,6001422700,0,0,10
Berkeley,6001422800,7,0.25,28
Berkeley,6001422901,1,0.055555556,18
Berkeley,6001422902,1,0.02173913,46
Berkeley,6001423000,1,0.011764706,85
Berkeley,6001423100,3,0.022556391,133
Berkeley,6001423200,3,0.024590164,122
Berkeley,6001423300,4,0.026666667,150
Berkeley,6001423400,5,0.033112583,151
Berkeley,6001423500,3,0.037974684,79
Berkeley,6001423601,3,0.06122449,49
Berkeley,6001423602,2,0.054054054,37
Berkeley,6001423700,2,0.048780488,41
Berkeley,6001423800,3,0.056603774,53
Berkeley,6001423901,1,0.028571429,35
Berkeley,6001423902,2,0.068965517,29
Berkeley,6001424001,10,0.096153846,104
Berkeley,6001424002,1,0.011235955,89
Alameda,6001425101,0,0,43
Alameda,6001425102,1,0.011904762,84
Alameda,6001425103,1,0.011363636,88
Alameda,6001425104,2,0.01459854,137
Alameda,6001426100,1,0.009345794,107
Alameda,6001426200,2,0.02173913,92
Alameda,6001427100,2,0.018018018,111
Alameda,6001427200,6,0.035714286,168
Alameda,6001427300,3,0.018072289,166
Alameda,6001427600,7,0.02745098,255
Alameda,6001427700,7,0.046666667,150
Alameda,6001427800,8,0.057142857,140
Alameda,6001427900,8,0.046242775,173
Alameda,6001428000,6,0.0625,96
Alameda,6001428100,5,0.032467532,154
Alameda,6001428200,4,0.022346369,179
Alameda,6001428301,1,0.004950495,202
Alameda,6001428302,0,0,122
Alameda,6001428400,7,0.045454545,154
Alameda,6001428500,1,0.01010101,99
